CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Município e Leitos complementares
Período:Fev/2020
"Município";"Unidade intermediária neonatal";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"UTI pediátrica I";"UTI pediátrica II";"UTI pediátrica III";"UTI neonatal I";"UTI neonatal II";"UTI neonatal III";"UTI de Queimados";"UTI coronariana tipo II -UCO tipo II";"UTI coronariana tipo III - UCO tipo III";"Unidade de cuidados intermed neonatal convencional";"Unidade de cuidados intermed neonatal canguru";"Unidade de cuidados intermed pediatrico";"Unidade de cuidados intermed adulto";"Total"
"231380 Uruburetama";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"231400 Várzea Alegre";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"240020 Açu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"240200 Caicó";-;5;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"240260 Ceará-Mirim";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"240310 Currais Novos";-;-;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;20
"240470 Ipanguaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"240520 Janduís";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"240610 Jucurutu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"240650 Lagoa Nova";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"240800 Mossoró";-;-;-;105;-;-;10;-;-;17;-;-;-;-;13;18;-;2;165
"240810 Natal";-;26;71;196;19;4;38;-;25;68;-;-;7;-;12;22;-;21;509
"240325 Parnamirim";-;-;-;10;-;-;-;-;-;10;-;-;-;-;5;-;-;1;26
"240940 Pau dos Ferros";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"241120 Santa Cruz";-;1;-;-;-;-;-;-;-;5;-;-;-;-;5;-;-;-;11
"241140 Santana do Matos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"241280 São Rafael";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"241335 Serra do Mel";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"250040 Alagoa Nova";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"250240 Bonito de Santa Fé";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"250370 Cajazeiras";-;5;-;7;-;-;-;-;-;-;-;-;-;-;5;-;-;-;17
"250400 Campina Grande";-;9;38;88;-;16;14;-;4;21;-;-;-;-;19;9;-;15;233
"250440 Conceição";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"250480 Coremas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"250570 Dona Inês";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"250600 Esperança";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"250630 Guarabira";-;3;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"250750 João Pessoa";2;48;8;145;61;4;42;9;9;50;9;6;20;5;44;22;-;7;491
"250840 Lastro";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"250890 Mamanguape";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"250920 Massaranduba";-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"250970 Monteiro";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251080 Patos";-;2;6;12;-;-;6;-;-;8;-;-;-;-;7;4;-;8;53
"251120 Pedras de Fogo";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"251130 Piancó";-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"251210 Pombal";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"251230 Princesa Isabel";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251250 Queimadas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251370 Santa Rita";-;12;-;30;-;-;10;-;-;-;-;-;10;-;-;-;-;-;62
"251430 São José de Caiana";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251620 Sousa";-;7;10;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"251650 Taperoá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"260005 Abreu e Lima";-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32
"260120 Arcoverde";-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"260140 Barreiros";-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"260160 Belém do São Francisco";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"260190 Bezerros";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"260260 Brejo da Madre de Deus";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260290 Cabo de Santo Agostinho";-;4;10;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44
"260345 Camaragibe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;-;5
"260400 Carpina";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"260410 Caruaru";-;21;-;81;-;-;10;-;-;-;-;-;10;-;18;12;-;10;162
"260510 Custódia";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"260550 Ferreiros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"260570 Floresta";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"260600 Garanhuns";-;-;5;21;-;-;-;-;-;-;-;-;-;-;-;-;-;8;34
"260630 Granito";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260790 Jaboatão dos Guararapes";-;-;5;50;-;-;-;-;3;34;-;-;-;-;-;-;-;-;92
"260890 Limoeiro";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"260950 Nazaré da Mata";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260960 Olinda";-;-;-;25;-;-;-;-;-;-;-;-;16;-;-;-;29;52;122
"260990 Ouricuri";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"261000 Palmares";-;9;-;30;-;-;5;-;-;15;-;-;-;-;6;-;-;-;65
"261060 Paudalho";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261070 Paulista";-;3;10;75;-;-;-;-;-;-;-;-;-;-;3;-;-;-;91
"261080 Pedra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"261100 Petrolândia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261110 Petrolina";-;1;9;58;-;2;8;-;3;15;-;-;4;-;27;8;-;-;135
"261160 Recife";56;75;224;516;133;25;99;23;50;123;18;2;47;-;93;42;4;4;1534
"261170 Riacho das Almas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"261220 Salgueiro";-;1;-;11;-;-;-;-;-;-;-;-;-;-;5;-;-;-;17
"261245 Santa Cruz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"261247 Santa Cruz da Baixa Verde";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"261255 Santa Filomena";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"261370 São Lourenço da Mata";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"261390 Serra Talhada";-;3;5;11;-;1;-;-;-;-;-;-;-;-;-;-;-;-;20
"261640 Vitória de Santo Antão";-;-;-;-;-;-;-;-;-;10;-;-;-;-;10;-;-;-;20
"270030 Arapiraca";-;1;25;35;30;-;10;-;-;10;-;-;-;10;14;10;-;-;145
"270130 Cajueiro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270230 Coruripe";-;1;-;-;10;-;-;9;-;-;18;-;-;-;-;-;-;-;38
"270240 Delmiro Gouveia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270400 Junqueiro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270430 Maceió";-;19;42;121;11;4;29;4;10;68;-;-;-;-;111;10;-;-;429
"270440 Major Isidoro";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270630 Palmeira dos Índios";-;1;-;8;-;-;-;-;-;8;-;-;-;-;-;-;2;-;19
"270670 Penedo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;3;-;-;11
"270770 Rio Largo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;8
"270800 Santana do Ipanema";-;4;-;10;-;-;-;-;-;10;-;-;-;-;10;6;-;-;40
"270850 São Luís do Quitunde";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270860 São Miguel dos Campos";-;-;-;7;-;-;-;-;-;8;-;-;-;-;6;4;-;-;25
"280020 Aquidabã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"280030 Aracaju";-;21;56;118;57;2;17;3;16;7;64;-;-;-;70;27;-;4;462
"280130 Capela";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280210 Estância";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280290 Itabaiana";-;4;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;2;11
"280340 Japoatã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"280350 Lagarto";-;-;-;10;-;-;-;-;-;-;-;-;-;-;5;-;-;-;15
"280450 Nossa Senhora da Glória";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280540 Poço Redondo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280570 Propriá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;4
"280590 Riachuelo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"280670 São Cristóvão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290010 Abaíra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290070 Alagoinhas";-;7;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"290100 Amargosa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290160 Antas";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290270 Barra";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290290 Barra do Choça";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290300 Barra do Mendes";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"290320 Barreiras";-;-;-;10;-;-;7;-;1;7;-;-;-;-;10;5;-;30;70
"290327 Barrocas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290340 Belmonte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290390 Bom Jesus da Lapa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290450 Brotas de Macaúbas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290460 Brumado";-;-;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;20
"290490 Cachoeira";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290510 Caém";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290520 Caetité";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290550 Caldeirão Grande";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290570 Camaçari";-;7;10;8;-;-;-;-;-;-;-;-;-;-;11;-;-;-;36
"290590 Campo Alegre de Lourdes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290600 Campo Formoso";-;4;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;10
"290650 Candeias";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"290690 Caravelas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290750 Catu";-;3;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"290810 Cocos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290840 Conceição do Coité";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290850 Conceição do Jacuípe";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;4;16
"290870 Condeúba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290910 Coribe";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290930 Correntina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290940 Cotegipe";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290970 Cristópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290980 Cruz das Almas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;5
"291040 Encruzilhada";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291070 Euclides da Cunha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291072 Eunápolis";-;1;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;10;30
"291080 Feira de Santana";-;11;16;40;-;-;28;-;6;33;-;-;-;-;37;32;-;11;214
"291110 Formosa do Rio Preto";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291170 Guanambi";-;4;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;24
"291190 Iaçu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;11
"291200 Ibiassucê";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291210 Ibicaraí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;3
"291340 Igaporã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291360 Ilhéus";-;3;-;52;-;-;-;-;-;-;-;-;-;-;6;-;-;-;61
"291390 Ipiaú";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4
"291400 Ipirá";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"291440 Iraquara";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291460 Irecê";-;-;-;16;-;-;-;-;-;10;-;-;-;-;5;-;-;-;31
"291465 Itabela";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291470 Itaberaba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291480 Itabuna";-;3;-;29;-;-;10;-;-;22;-;-;13;-;12;5;10;-;104
"291490 Itacaré";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291530 Itagimirim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291560 Itamaraju";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291600 Itanhém";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291640 Itapetinga";-;3;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"291670 Itaquara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291720 Ituaçu";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"291735 Jaborandi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291750 Jacobina";-;7;-;3;-;-;-;-;-;10;-;-;-;-;10;5;-;-;35
"291760 Jaguaquara";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"291800 Jequié";-;-;-;36;-;-;-;-;-;14;-;-;-;-;5;-;-;10;65
"291840 Juazeiro";-;-;4;26;-;1;-;-;1;-;-;-;7;-;-;-;-;-;39
"291845 Jucuruçu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291880 Laje";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291920 Lauro de Freitas";-;3;33;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46
"291955 Luís Eduardo Magalhães";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;5
"291980 Macaúbas";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291992 Madre de Deus";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"292010 Mairi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292020 Malhada";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292050 Maracás";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"292100 Mata de São João";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292110 Medeiros Neto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292120 Miguel Calmon";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292130 Milagres";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292170 Morro do Chapéu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292200 Mucuri";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292210 Mundo Novo";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292300 Nova Viçosa";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"292310 Olindina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292360 Paramirim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292370 Paratinga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292400 Paulo Afonso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;8
"292450 Pindaí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292520 Pojuca";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292530 Porto Seguro";-;-;-;10;-;-;-;-;-;-;-;-;-;-;10;-;-;4;24
"292630 Riachão do Jacuípe";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"292640 Riacho de Santana";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292660 Ribeira do Pombal";-;-;-;7;-;-;-;-;-;-;-;-;-;-;6;-;-;-;13
"292690 Rio do Pires";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292740 Salvador";-;75;9;703;173;-;125;12;15;183;-;4;8;21;135;66;-;95;1624
"292790 Santa Inês";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"292810 Santa Maria da Vitória";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292800 Santaluz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292820 Santana";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292860 Santo Amaro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"292870 Santo Antônio de Jesus";-;2;10;32;-;-;-;-;-;-;-;-;-;-;10;5;-;-;59
"292880 Santo Estêvão";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"292890 São Desidério";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292900 São Félix";-;1;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"292920 São Francisco do Conde";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292930 São Gonçalo dos Campos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292960 Sapeaçu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292990 Seabra";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"293015 Serra do Ramalho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293030 Serra Dourada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"293070 Simões Filho";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"293075 Sítio do Mato";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293130 Tapiramutá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293135 Teixeira de Freitas";-;3;-;2;30;-;-;-;-;16;-;-;-;-;10;5;-;2;68
"293150 Teofilândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293230 Ubatã";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"293260 Urandi";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"293300 Valente";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293320 Vera Cruz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293325 Vereda";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293330 Vitória da Conquista";-;13;-;94;-;-;15;-;3;22;5;-;-;-;27;4;2;3;188
"293345 Wanderley";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"293360 Xique-Xique";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"310030 Abre Campo";-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"310150 Além Paraíba";-;3;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"310160 Alfenas";-;5;7;20;-;-;10;-;8;14;4;-;-;-;14;4;-;-;86
"310170 Almenara";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"310210 Alto Rio Doce";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"310280 Andrelândia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"310340 Araçuaí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;5;4;-;-;11
"310350 Araguari";-;2;8;10;-;-;-;2;-;10;-;-;-;-;5;3;-;-;40
"310400 Araxá";-;-;2;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
"310490 Baependi";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"310540 Barão de Cocais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"310560 Barbacena";-;8;-;40;-;-;2;-;-;8;-;-;-;-;-;5;-;-;63
"310590 Barroso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"310620 Belo Horizonte";-;64;170;725;175;52;79;43;98;142;30;11;38;-;130;37;8;14;1816
"310670 Betim";-;3;-;39;-;-;18;-;-;32;-;-;-;-;24;10;-;-;126
"310740 Bom Despacho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"310750 Bom Jardim de Minas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"310840 Botelhos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"310860 Brasília de Minas";-;4;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"310900 Brumadinho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"310990 Caetanópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"311000 Caeté";3;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;3;10
"311070 Cambuquira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"311120 Campo Belo";-;-;-;11;-;-;-;-;-;7;-;-;-;-;-;-;-;-;18
"311150 Campos Altos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"311270 Capitão Enéas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"311320 Carandaí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"311330 Carangola";-;1;-;26;-;-;-;-;-;11;-;-;-;-;-;-;-;-;38
"311340 Caratinga";-;-;-;28;-;-;-;-;-;10;-;-;-;-;6;5;-;-;49
"311530 Cataguases";-;8;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"311550 Caxambu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"311580 Centralina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"311660 Cláudio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"311800 Congonhas";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"311830 Conselheiro Lafaiete";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"311860 Contagem";-;5;-;55;-;-;10;-;-;20;-;-;-;-;22;10;-;1;123
"311940 Coronel Fabriciano";-;3;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"312090 Curvelo";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"312120 Delfinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312160 Diamantina";-;1;-;20;-;-;2;-;-;8;-;-;-;-;3;1;-;-;35
"312200 Divino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;6
"312230 Divinópolis";-;-;17;39;20;-;2;2;-;8;8;-;-;-;-;-;-;-;96
"312260 Dom Joaquim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312270 Dom Silvério";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312390 Entre Rios de Minas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"312410 Esmeraldas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312510 Extrema";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"312560 Felisburgo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312610 Formiga";-;-;-;17;-;-;1;-;-;18;-;-;-;-;-;-;-;-;36
"312770 Governador Valadares";-;7;29;38;-;-;-;-;-;20;-;-;-;-;10;5;5;8;122
"312800 Guanhães";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"312860 Guarda-Mor";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312870 Guaxupé";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"312940 Ibertioga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312980 Ibirité";-;3;-;10;-;-;-;-;-;-;-;-;-;-;6;-;-;-;19
"313130 Ipatinga";-;3;-;40;10;-;5;-;-;5;-;-;-;-;15;5;6;-;89
